"","d","Power","Divergence","BIC"
"1",0.2,0.715,0.552227778920163,46.232345434937
"2",0.3,0.754,0.54511902342205,64.60179628215
"3",0.4,0.763,0.546161752247421,70.332330490064
"4",0.5,0.809,0.539220311469315,96.5209061207576
"5",0.6,0.774,0.542593600454604,96.6425763273713
"6",0.7,0.781,0.543607986148095,110.610068445589
"7",0.8,0.786,0.538524938487723,132.646946115309
"8",0.9,0.797,0.540048291782148,146.950218228875
"9",1,0.761,0.549731348848763,144.158763942835
"10",1.1,0.78,0.547044180188383,170.812131418877
"11",1.2,0.769,0.557712096046131,171.009821922147
"12",1.3,0.771,0.56282930238413,181.357493715631
"13",1.4,0.746,0.5717262867037,183.827775400065
"14",1.5,0.753,0.586233638556669,175.282292535781
"15",1.6,0.781,0.597097995632354,173.131673034874
"16",1.7,0.74,0.619726509821403,152.807561360239
"17",1.8,0.72,0.626569403530145,150.415928333917
"18",1.9,0.744,0.638603354284804,142.295788055192
"19",2,0.718,0.646598840578408,132.948642995349
"20",2.1,0.747,0.649455555008789,138.961406755617
"21",2.2,0.76,0.66124923735421,130.388644517148
"22",2.3,0.73,0.670835954852382,117.745385973989
"23",2.4,0.72,0.679251390633064,113.341080973042
"24",2.5,0.717,0.689840166939668,104.470846993898
"25",2.6,0.706,0.698207960719001,100.701018468439
"26",2.7,0.706,0.706335081095966,95.5077496431615
"27",2.8,0.744,0.708921989410978,100.49572987075
"28",2.9,0.722,0.717413322844579,96.5908285413098
"29",3,0.763,0.72169999789711,99.5817192076002
"30",3.1,0.714,0.734659029665732,88.4989930411977
"31",3.2,0.76,0.734448981882037,100.716976502145
"32",3.3,0.774,0.73876809448949,101.653203348589
"33",3.4,0.771,0.74638039189404,99.0714916790167
"34",3.5,0.801,0.748384026272622,103.95253784964
"35",3.6,0.77,0.754621466658436,102.694950604897
"36",3.7,0.813,0.755463381508305,109.901581796146
"37",3.8,0.815,0.758558257710558,110.028087631163
"38",3.9,0.837,0.762402357676451,111.893131686392
"39",4,0.837,0.765348220700742,114.422210727324
"40",4.1,0.86,0.767292974092527,119.785183202475
"41",4.2,0.864,0.769777382545399,120.012924642174
"42",4.3,0.857,0.772838691045091,118.382554760218
"43",4.4,0.854,0.777001109468454,116.00062371207
"44",4.5,0.861,0.778628190593746,120.697938941384
"45",4.6,0.868,0.781677413470345,119.261762722526
"46",4.7,0.871,0.780639298709104,124.503557897026
"47",4.8,0.866,0.784676156649108,125.211148036519
"48",4.9,0.876,0.785770983319309,127.447165483213
"49",5,0.874,0.786951097873648,126.080195738208
